OBJECTID1,OBJECTID,COUNT,SHAPE_Length,SHAPE_Area
168,793,1,1999.999937,249999.9843
169,849,2,1999.999937,249999.9843
170,635,5,1999.999937,249999.9842
171,904,3,1999.999937,249999.9842
172,865,1,1999.999937,249999.9842
173,1011,1,1999.999937,249999.9842
174,743,1,1999.999937,249999.9842
175,616,1,1999.999937,249999.9842
176,842,1,1999.999937,249999.9842
177,725,1,2000.000593,250000.1483
178,571,2,1999.999937,249999.9842
179,737,2,1999.999937,249999.9842
180,769,2,1999.999937,249999.9843
181,1068,1,1999.999937,249999.9842
182,1055,1,1999.999937,249999.9842
183,679,1,1999.999937,249999.9842
184,1010,2,1999.999937,249999.9843
185,731,5,1999.999937,249999.9842
186,620,1,1999.999937,249999.9842
187,691,1,1999.999937,249999.9842
188,867,1,1999.999937,249999.9842
189,957,2,1999.999937,249999.9842
190,1120,2,1999.999937,249999.9842
191,761,2,1999.999937,249999.9843
192,976,1,1999.999937,249999.9842
193,1080,1,1999.999937,249999.9842
194,683,6,1999.999937,249999.9842
195,940,2,2000.000593,250000.1483
196,962,1,1999.999937,249999.9842
197,933,2,1999.999937,249999.9842
198,778,1,1999.999937,249999.9843
199,1071,1,1999.999937,249999.9842
200,891,1,1999.999937,249999.9842
201,1049,2,1999.999937,249999.9842
202,755,1,1999.999937,249999.9843
203,729,2,1999.999937,249999.9842
204,792,1,1999.999937,249999.9843
205,831,1,1999.999937,249999.9842
206,732,3,1999.999937,249999.9842
207,710,1,1999.999937,249999.9842
208,703,1,1999.999937,249999.9842
209,1006,1,1999.999937,249999.9842
210,1070,1,1999.999937,249999.9842
211,646,1,1999.999937,249999.9842
212,828,1,1999.999937,249999.9842
213,1056,1,1999.999937,249999.9842
214,1073,2,1999.999937,249999.9842
215,794,5,1999.999937,249999.9843
216,662,1,1999.999937,249999.9843
217,1050,1,1999.999937,249999.9842
218,1013,2,1999.999937,249999.9842
219,929,1,1999.999937,249999.9842
220,1005,2,1999.999937,249999.9842
221,860,3,1999.999937,249999.9842
222,676,3,1999.999937,249999.9842
223,601,2,1999.999937,249999.9842
224,893,1,1999.999937,249999.9842
225,749,2,1999.999937,249999.9842
226,716,2,1999.999937,249999.9842
227,925,10,1999.999937,249999.9842
228,766,1,2000.000593,250000.1483
229,834,1,1999.999937,249999.9842
230,895,1,1999.999937,249999.9842
231,1012,6,2000.000593,250000.1483
232,708,1,1999.999937,249999.9842
233,1081,1,1999.999937,249999.9842
234,1089,1,1999.999937,249999.9842
235,740,2,1999.999937,249999.9842
236,1125,1,1999.999937,249999.9842
237,758,2,1999.999937,249999.9843
238,724,3,1999.999937,249999.9843
239,622,1,1999.999937,249999.9842
240,1111,1,1999.999937,249999.9842
241,617,1,1999.999937,249999.9842
242,728,3,1999.999937,249999.9842
243,720,2,1999.999937,249999.9842
244,982,3,1999.999937,249999.9842
245,674,1,1999.999937,249999.9842
246,602,1,1999.999937,249999.9842
247,756,1,1999.999937,249999.9843
248,975,1,1999.999937,249999.9842
249,1092,1,1999.999937,249999.9842
250,1008,1,1999.999937,249999.9842
251,854,1,1999.999937,249999.9842
252,1017,2,1999.999937,249999.9842
253,1074,1,1999.999937,249999.9842
254,983,1,1999.999937,249999.9842
255,901,1,1999.999937,249999.9842
256,596,1,1999.999937,249999.9842
257,1077,2,1999.999937,249999.9842
258,853,1,1999.999937,249999.9842
259,880,1,1999.999937,249999.9842
260,935,1,1999.999937,249999.9842
261,999,3,1999.999937,249999.9842
262,910,1,1999.999937,249999.9842
263,1037,1,1999.999937,249999.9842
264,1021,1,1999.999937,249999.9842
265,664,1,1999.999937,249999.9842
266,717,2,1999.999937,249999.9842
267,1031,1,1999.999937,249999.9842
268,612,1,1999.999937,249999.9842
269,614,1,1999.999937,249999.9842
270,706,1,1999.999937,249999.9842
271,709,1,1999.999937,249999.9842
272,797,1,1999.999937,249999.9843
273,912,1,1999.999937,249999.9842
274,841,2,1999.999937,249999.9842
275,861,1,1999.999937,249999.9842
276,677,2,1999.999937,249999.9842
277,997,2,1999.999937,249999.9842
278,1586,3,2000.000593,250000.1483
279,1182,1,1999.999937,249999.9842
280,1632,1,1999.999937,249999.9842
281,1522,1,1999.999937,249999.9842
